file,summary
week_2_hydra_config/model.py,"This Python script is for a ColaModel class which is a subclass of pytorch_lightning's LightningModule class. It imports various libraries such as torch, wandb, hydra, numpy, pandas, torchmetrics, pytorch_lightning, and transformers. It also imports OmegaConf, DictConfig, sklearn's confusion_matrix, matplotlib's pyplot, and seaborn. The class has an __init__ method which"
week_2_hydra_config/train.py,"This Python script imports the necessary libraries for a sentiment analysis task, such as torch, hydra, wandb, and logging. It also imports pandas, pytorch_lightning, and omegaconf. It then defines a SamplesVisualisationLogger class, which is used to log wrong predictions. The main function is then defined, which sets up the data module, model, callbacks, and logger. Finally, the trainer is used to fit the model to the data"
week_2_hydra_config/inference.py,"This Python script defines a class called ColaPredictor which takes a model path as an argument. It then loads the model from the checkpoint, sets it to evaluation mode, freezes it, and creates a DataModule object. The predict() method takes a text string as an argument, tokenizes it, and passes it to the model. The model then returns logits which are converted to scores using a Softmax function. Finally, the scores and labels are combined into a list of diction"
week_2_hydra_config/data.py,"This Python script is a DataModule class that is used to prepare data for a machine learning model. It imports the torch, datasets, and pytorch_lightning libraries, as well as the load_dataset and AutoTokenizer functions from the transformers library. The class takes in a model name, batch size, and max length as parameters and sets up the tokenizer. The prepare_data function loads the cola dataset from the glue dataset. The tokenize_data"
week_4_onnx/inference_onnx.py,"This Python script is a class for a ColaONNXPredictor which uses an ONNX model to predict the acceptability of a sentence. It imports the necessary libraries, defines the class, and initializes the class with the model path. The predict method takes in a text, tokenizes it, runs the ONNX model, and returns a list of predictions with labels and scores. The main section tests the predictor with a single sentence and then with a list of sentences."
week_4_onnx/model.py,"This Python script is for a ColaModel class which is a subclass of pytorch_lightning's LightningModule class. It imports various libraries such as torch, wandb, hydra, numpy, pandas, torchmetrics, pytorch_lightning, and transformers. It also imports OmegaConf, DictConfig, sklearn's confusion_matrix, matplotlib's pyplot, and seaborn. The class has an __init__ method which"
week_4_onnx/utils.py,This Python script is a decorator for timing functions. It uses the time module and the functools module to measure the time it takes for a function to execute. It prints out the name of the function and the time it took to execute. It then returns the result of the function.
week_4_onnx/train.py,"This Python script imports the necessary libraries for a sentiment analysis task, such as torch, hydra, wandb, and logging. It also imports pandas, pytorch_lightning, and omegaconf. It then defines a SamplesVisualisationLogger class, which is used to log the wrong predictions of the model. The main function is then defined, which sets up the data module, model, and trainer. The trainer is configured with a ModelCheckpoint, Samples"
week_4_onnx/inference.py,"This Python script is a class for predicting the acceptability of a sentence using a pre-trained ColaModel. It initializes the model, processor, and softmax, and labels. It also has a predict method which takes in a sentence, tokenizes it, and returns a list of predictions with labels and scores. There is also a main method which tests the predictor with a single sentence and multiple sentences."
week_4_onnx/convert_model_to_onnx.py,"This Python script imports the torch, hydra, and logging libraries, as well as the OmegaConf library. It then sets up a logger and defines a function, convert_model, which takes a configuration file as an argument. The function loads a pre-trained model from a checkpoint, prepares data, and sets up a data module. It then creates an input batch and sample, and exports the model in ONNX format. Finally, it prints a message indicating that the model has been converted"
week_4_onnx/data.py,"This Python script is a DataModule class that is used to prepare data for a PyTorch Lightning model. It initializes a tokenizer from a pretrained model, loads a dataset, tokenizes the data, and sets up the data in the correct format for the model. It also provides train and validation dataloaders for the model. Finally, it prints the shape of the input_ids of the first batch of the training dataloader."
week_0_project_setup/model.py,"This Python script defines a ColaModel class which is a subclass of the pytorch_lightning pl.LightningModule class. The class initializes a BERT model from the transformers library and a linear layer with two output classes. The forward method takes input_ids and attention_mask as inputs and returns logits. The training_step and validation_step methods define the loss and accuracy metrics for the model. Finally, the configure_optimizers method sets the optimizer"
week_0_project_setup/train.py,"This Python script imports the torch, pytorch_lightning, ModelCheckpoint, and EarlyStopping modules. It then creates a DataModule and ColaModel object, and sets up a ModelCheckpoint and EarlyStopping callback. Finally, it creates a Trainer object and fits the ColaModel to the ColaData."
